Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	PTPRH	5794	Q9HD43	protein tyrosine phosphatase receptor type H	Enzyme	30	0.691	0.423	1.0298e-36	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	BAX	581	Q07812	BCL2 associated X, apoptosis regulator	Signaling	420	0.417	0.885	0.31746	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	PVR	5817	P15151	PVR cell adhesion molecule		177	0.51	0.769	3.922e-10	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	OVOL2	58495	Q9BRP0	ovo like zinc finger 2		58	0.633	0.462	0.70889	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RAB5A	5868	P20339	RAB5A, member RAS oncogene family		67	0.601	0.731	0.62452	0.01		1.0	1	0	1999.0	1999.0
Adenocarcinoma of lung (disorder)	C0152013	RAB27B	5874	O00194	RAB27B, member RAS oncogene family		64	0.608	0.692	0.038714	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RAD51	5888	Q06609	RAD51 recombinase		363	0.447	0.846	0.026578	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ACTA2	59	P62736	actin alpha 2, smooth muscle	Cellular structure	200	0.508	0.846	0.93017	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RAP1A	5906	P62834	RAP1A, member of RAS oncogene family	Enzyme modulator	215	0.502	0.808	0.62227	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	RASGRF1	5923	Q13972	Ras protein specific guanine nucleotide releasing factor 1	Enzyme modulator	124	0.537	0.769	0.99999	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ACE2	59272	Q9BYF1	angiotensin I converting enzyme 2	Enzyme	253	0.477	0.769	0.99769	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RBBP8	5932	Q99708	RB binding protein 8, endonuclease	Transcription factor	110	0.584	0.808	3.0764e-12	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RBL2	5934	Q08999	RB transcriptional corepressor like 2	Nucleic acid binding	89	0.579	0.769	0.99835	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	LGR6	59352	Q9HBX8	leucine rich repeat containing G protein-coupled receptor 6	G-protein coupled receptor	209	0.502	0.923	2.9439e-06	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RBMY1A1	5940	P0C7P1;P0DJD3	RNA binding motif protein Y-linked family 1 member A1	Nucleic acid binding	23	0.736	0.423	0.29035	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RCVRN	5957	P35243	recoverin		19	0.729	0.423	1.7064e-09	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	REG1B	5968	P48304	regenerating family member 1 beta		22	0.716	0.308	1.9522e-06	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	RFC3	5983	P40938	replication factor C subunit 3	Enzyme	28	0.705	0.269	9.576e-06	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	BCL2L2	599	Q92843	BCL2 like 2	Signaling	66	0.599	0.615	0.46908	0.01		1.0	1	0	2007.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	RMRP	6023		RNA component of mitochondrial RNA processing endoribonuclease		239	0.519	0.731		0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC5A7	60482	Q9GZV3	solute carrier family 5 member 7	Transporter	127	0.597	0.654	0.015272	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	KCNK15	60598	Q9H427	potassium two pore domain channel subfamily K member 15	Ion channel	4	0.931	0.077	0.033356	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MIIP	60672	Q5JXC2	migration and invasion inhibitory protein		29	0.7	0.308	1.3121e-20	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GAS5	60674		growth arrest specific 5		184	0.497	0.808		0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SNORD15A	6079		small nucleolar RNA, C/D box 15A		41	0.653	0.577		0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TNFRSF17	608	Q02223	TNF receptor superfamily member 17	Receptor	81	0.588	0.692	1.3715e-06	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ROBO1	6091	Q9Y6N7	roundabout guidance receptor 1		144	0.535	0.731	7.2696e-16	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RPL17	6139	P18621	ribosomal protein L17		104	0.559	0.731	0.92412	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RPL19	6143	P84098	ribosomal protein L19	Nucleic acid binding	16	0.751	0.308	0.98197	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	RPS6	6194	P62753	ribosomal protein S6	Nucleic acid binding	117	0.547	0.692	0.9759	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	RPS6KA1	6195	Q15418	ribosomal protein S6 kinase A1	Kinase	68	0.619	0.654	0.0019056	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HCC	619501		thyroid carcinoma, Hurthle cell		45	0.644	0.423		0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MIR483	619552		microRNA 483		122	0.537	0.769		0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	SNORA41	619569		small nucleolar RNA, H/ACA box 41		5	0.839	0.231		0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RPS6KB1	6198	P23443	ribosomal protein S6 kinase B1	Kinase	169	0.511	0.731	0.97285	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RPS15A	6210	P62244	ribosomal protein S15a	Nucleic acid binding	58	0.638	0.538	0.802	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	RPS19	6223	P39019	ribosomal protein S19	Nucleic acid binding	256	0.48	0.846	0.92111	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	BDKRB1	623	P46663	bradykinin receptor B1	G-protein coupled receptor	79	0.619	0.731	0.0046897	0.01		0.0	1	0	2004.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	RRAD	6236	P55042	RRAD, Ras related glycolysis inhibitor and calcium channel regulator		58	0.638	0.538	0.43879	0.01		1.0	1	0	2007.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	RRAS	6237	P10301	RAS related	Enzyme modulator	149	0.543	0.808	0.004663	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RREB1	6239	Q92766	ras responsive element binding protein 1		227	0.5	0.808	1.0	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	BDKRB2	624	P30411	bradykinin receptor B2	G-protein coupled receptor	105	0.585	0.808	0.11863	0.01		0.0	1	0	2004.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	RTKN	6242	Q9BST9	rhotekin		25	0.711	0.269	2.696e-06	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	S100A1	6271	P23297	S100 calcium binding protein A1	Calcium-binding protein	396	0.421	0.846	0.0060044	0.01		1.0	1	0	2005.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	S100A7	6278	P31151	S100 calcium binding protein A7	Calcium-binding protein	119	0.546	0.769	0.45274	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	S100A8	6279	P05109	S100 calcium binding protein A8	Calcium-binding protein	369	0.43	0.962	0.13761	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	S100A11	6282	P31949	S100 calcium binding protein A11	Calcium-binding protein	103	0.556	0.731	0.0084662	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	S100P	6286	P25815	S100 calcium binding protein P	Calcium-binding protein	11	0.78	0.346	0.033257	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ATXN1	6310	P54253	ataxin 1		218	0.534	0.769	0.97498	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SERPINB3	6317	P29508	serpin family B member 3	Enzyme modulator	101	0.565	0.615	8.2146e-16	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SERPINB4	6318	P48594	serpin family B member 4	Enzyme modulator	64	0.623	0.423	8.7622e-17	0.01		1.0	1	0	2006.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	SCD	6319	O00767	stearoyl-CoA desaturase		225	0.49	0.808	0.96968	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	BGN	633	P21810	biglycan		253	0.484	0.808	0.45229	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	CCL1	6346	P22362	C-C motif chemokine ligand 1	Signaling	79	0.587	0.692	0.0079669	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CCL4	6351	P13236;Q8NHW4	C-C motif chemokine ligand 4	Signaling	276	0.466	0.923	0.24134	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CCL18	6362	P55774	C-C motif chemokine ligand 18	Signaling	200	0.489	0.846	0.0091743	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CCL20	6364	P78556	C-C motif chemokine ligand 20	Signaling	242	0.474	0.846	0.00024242	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CCL21	6366	O00585	C-C motif chemokine ligand 21	Signaling	186	0.502	0.769	0.036239	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	BIK	638	Q13323	BCL2 interacting killer		48	0.653	0.462	5.0334e-06	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SDCBP	6386	O00560	syndecan binding protein	Transporter	45	0.653	0.385	0.00058136	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CXCL12	6387	P48061	C-X-C motif chemokine ligand 12		626	0.379	0.846	0.11851	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	HEATR6	63897	Q6AI08	HEAT repeat containing 6	Immune response	35	0.678	0.462	5.1848e-21	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NSUN3	63899	Q9H649	NOP2/Sun RNA methyltransferase 3	Enzyme	1	1.0	0.038	9.0405e-09	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	PRDM1	639	O75626	PR/SET domain 1		126	0.538	0.731	0.9565	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	CIDEC	63924	Q96AQ7	cell death inducing DFFA like effector c		43	0.666	0.462	0.0089662	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	KIF13A	63971	Q9H1H9	kinesin family member 13A	Cellular structure	10	0.792	0.192	0.99999	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PERP	64065	Q96FX8	p53 apoptosis effector related to PMP22		47	0.663	0.577	0.079462	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	CDH23	64072	Q9H251	cadherin related 23		203	0.539	0.769	3.1819e-06	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TNMD	64102	Q9H2S6	tenomodulin		86	0.588	0.692	0.0035119	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	VSIR	64115	Q9H7M9	V-set immunoregulatory receptor		92	0.573	0.654	0.76097	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SELENOP	6414	P49908	selenoprotein P	Extracellular structure	138	0.545	0.769	8.2884e-07	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	NCAPG	64151	Q9BPX3	non-SMC condensin I complex subunit G		19	0.743	0.269	4.0848e-07	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MAP2K4	6416	P45985	mitogen-activated protein kinase kinase 4	Kinase	100	0.559	0.692	0.99709	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	SNHG6	641638		small nucleolar RNA host gene 6		51	0.633	0.423		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SET	6418	Q01105	SET nuclear proto-oncogene	Enzyme modulator	183	0.507	0.808	0.99597	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SRSF2	6427	Q01130	serine and arginine rich splicing factor 2	Nucleic acid binding	102	0.561	0.731	0.47898	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	NSD1	64324	Q96L73	nuclear receptor binding SET domain protein 1	Epigenetic regulator	247	0.505	0.769	1.0	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	CRNDE	643911		colorectal neoplasia differentially expressed		70	0.597	0.615		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SFTPD	6441	P35247	surfactant protein D	Surfactant	194	0.5	0.846	7.4927e-05	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ATG3	64422	Q9NT62	autophagy related 3	Enzyme	30	0.686	0.423	0.00071299	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	INF2	64423	Q27J81	inverted formin, FH2 and WH2 domain containing		62	0.644	0.423	0.97346	0.01		1.0	1	0	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	SGK1	6446	O00141	serum/glucocorticoid regulated kinase 1	Kinase	188	0.506	0.769	0.0023046	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SGTA	6449	O43765	small glutamine rich tetratricopeptide repeat containing alpha		43	0.65	0.5	0.94632	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CPEB1	64506	Q9BZB8	cytoplasmic polyadenylation element binding protein 1	Nucleic acid binding	57	0.638	0.538	0.99899	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00607	646324		long intergenic non-protein coding RNA 607		2	1.0	0.038		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IGF2BP2-AS1	646600	Q96M15	IGF2BP2 antisense RNA 1		2	0.931	0.077	0.39559	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SPANXC	64663	Q9NY87	SPANX family member C		9	0.805	0.231	0.072819	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SMYD3	64754	Q9H7B4	SET and MYND domain containing 3	Epigenetic regulator	57	0.633	0.462	1.4438e-07	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FNDC3B	64778	Q53EP0	fibronectin type III domain containing 3B		49	0.674	0.385	1.0	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SIAH2	6478	O43255	siah E3 ubiquitin protein ligase 2		52	0.633	0.538	0.68669	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	NORAD	647979		non-coding RNA activated by DNA damage		51	0.631	0.462		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DEPTOR	64798	Q8TB45	DEP domain containing MTOR interacting protein	Enzyme modulator	57	0.626	0.654	3.7245e-12	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	P2RY12	64805	Q9H244	purinergic receptor P2Y12	G-protein coupled receptor	153	0.533	0.731	0.0016859	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SIM1	6492	P81133	SIM bHLH transcription factor 1	Transcription factor	84	0.626	0.654	0.99828	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SIX1	6495	Q15475	SIX homeobox 1	Transcription factor	200	0.496	0.692	0.65297	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	SIX3	6496	O95343	SIX homeobox 3	Transcription factor	117	0.56	0.692	0.94714	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	SKI	6497	P12755	SKI proto-oncogene		255	0.503	0.808	0.99901	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MRPL41	64975	Q8IXM3	mitochondrial ribosomal protein L41	Nucleic acid binding	36	0.666	0.308	0.55531	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	BMP2	650	P12643	bone morphogenetic protein 2	Signaling	428	0.432	0.846	0.98799	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	SKP1	6500	P63208	S-phase kinase associated protein 1	Enzyme	38	0.666	0.615	0.37294	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PINK1	65018	Q9BXM7	PTEN induced kinase 1	Kinase	209	0.516	0.769	1.8749e-10	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RTN4R	65078	Q9BZR6	reticulon 4 receptor		75	0.595	0.692	0.95882	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	SLC1A5	6510	Q15758	solute carrier family 1 member 5	Transporter	81	0.587	0.577	0.16869	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SLC2A3	6515	P11169	solute carrier family 2 member 3	Transporter	144	0.534	0.769	0.010333	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SLC2A5	6518	P22732	solute carrier family 2 member 5	Transporter	48	0.647	0.5	3.5691e-10	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	BMP4	652	P12644	bone morphogenetic protein 4	Signaling	423	0.422	0.808	0.9564	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SLC3A2	6520	P08195	solute carrier family 3 member 2	Transporter	108	0.565	0.731	4.2163e-08	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC5A2	6524	P31639	solute carrier family 5 member 2	Transporter	214	0.499	0.769	4.9184e-14	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SLC5A5	6528	Q92911	solute carrier family 5 member 5	Transporter	195	0.499	0.769	0.0029492	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	CASTOR1	652968	Q8WTX7	cytosolic arginine sensor for mTORC1 subunit 1		10	0.821	0.231	0.027533	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CXADRP1	653108		CXADR pseudogene 1		272	0.463	0.846		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ZG16	653808	O60844	zymogen granule protein 16		8	0.839	0.077	0.62131	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SLC11A1	6556	P49279	solute carrier family 11 member 1	Transporter	141	0.525	0.846	1.5485e-19	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SLC12A1	6557	Q13621	solute carrier family 12 member 1	Transporter	87	0.631	0.538	6.6809e-17	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC12A2	6558	P55011	solute carrier family 12 member 2	Transporter	128	0.552	0.808	0.96153	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC12A3	6559	P55017	solute carrier family 12 member 3	Transporter	252	0.493	0.808	3.0324e-32	0.01		1.0	1	0	2001.0	2001.0
Adenocarcinoma of lung (disorder)	C0152013	SLC16A1	6566	P53985	solute carrier family 16 member 1	Transporter	195	0.499	0.846	0.00073565	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SLIT3	6586	O75094	slit guidance ligand 3		62	0.623	0.615	0.75233	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SLN	6588	O00631	sarcolipin		69	0.612	0.5	0.28701	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SNAI2	6591	O43623	snail family transcriptional repressor 2		189	0.505	0.692	0.79531	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	BMX	660	P51813	BMX non-receptor tyrosine kinase	Kinase	38	0.663	0.385	0.006673	0.01		0.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	LYNX1	66004	P0DP58	Ly6/neurotoxin 1		16	0.751	0.269	0.026317	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SMARCD1	6602	Q96GM5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	Nucleic acid binding	29	0.695	0.385	0.99947	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MIR545	664614		microRNA 545		34	0.674	0.538		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	BOK	666	Q9UMX3	BCL2 family apoptosis regulator BOK	Signaling	27	0.722	0.346	0.16279	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SOX10	6663	P56693	SRY-box transcription factor 10		334	0.461	0.808	0.99166	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SPAG4	6676	Q9NPE6	sperm associated antigen 4	Cellular structure	19	0.76	0.154	2.7163e-07	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SPARC	6678	P09486	secreted protein acidic and cysteine rich	Signaling	344	0.445	0.846	0.89148	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SPG7	6687	Q9UQ90	SPG7 matrix AAA peptidase subunit, paraplegin	Enzyme	419	0.436	0.885	1.9683e-36	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SPOCK1	6695	Q08629	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1	Enzyme modulator	70	0.61	0.577	0.82592	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SPRR1B	6699	P22528	small proline rich protein 1B		13	0.821	0.269	0.00063211	0.01		1.0	1	0	2003.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	BPI	671	P17213	bactericidal permeability increasing protein		83	0.61	0.769	1.6514e-14	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SPTBN1	6711	Q01082	spectrin beta, non-erythrocytic 1		76	0.619	0.538	1.0	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SRPK1	6732	Q96SB4	SRSF protein kinase 1	Kinase	53	0.628	0.538	1.91e-05	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	SRPK2	6733	P78362	SRSF protein kinase 2	Kinase	51	0.653	0.423	0.99697	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	SSTR4	6754	P31391	somatostatin receptor 4	G-protein coupled receptor	273	0.469	0.846	3.6978e-13	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	STAT2	6773	P52630	signal transducer and activator of transcription 2	Nucleic acid binding	92	0.569	0.615	0.93065	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	STAT5A	6776	P42229	signal transducer and activator of transcription 5A	Nucleic acid binding	318	0.445	0.808	0.99994	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	STAT5B	6777	P51692	signal transducer and activator of transcription 5B	Nucleic acid binding	357	0.442	0.808	0.99988	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	STC1	6781	P52823	stanniocalcin 1	Signaling	137	0.532	0.731	0.20364	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	BRS3	680	P32247	bombesin receptor subtype 3	G-protein coupled receptor	261	0.474	0.846	0.94849	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	VAMP2	6844	P63027	vesicle associated membrane protein 2		47	0.65	0.462	0.88736	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	TBX2	6909	Q13207	T-box transcription factor 2	Transcription factor	152	0.544	0.769	0.99329	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TBX5	6910	Q99593	T-box transcription factor 5	Transcription factor	170	0.528	0.769	0.99954	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TCF4	6925	P15884	transcription factor 4	Transcription factor	378	0.464	0.846	0.99981	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	MIR33B	693120		microRNA 33b		61	0.601	0.615		0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	MIR532	693124		microRNA 532		52	0.628	0.615		0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MIR552	693137		microRNA 552		24	0.705	0.269		0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	MIR576	693161		microRNA 576		30	0.686	0.385		0.01		1.0	1	0	2019.0	2019.0
